height,weight,label
181,54,thin
174,72,normal
146,57,fat
151,53,normal
127,80,fat
183,73,normal
183,89,fat
157,74,fat
184,100,fat
188,87,normal
187,97,fat
145,48,normal
157,69,fat
136,49,fat
166,99,fat
160,90,fat
188,81,normal
131,45,fat
141,48,normal
176,38,thin
177,71,normal
149,39,thin
200,71,thin
126,94,fat
121,63,fat
176,86,fat
122,50,fat
152,86,fat
181,65,normal
135,45,normal
143,40,normal
120,83,fat
147,36,thin
173,48,thin
187,90,fat
149,72,fat
179,35,thin
140,88,fat
176,57,thin
164,84,fat
137,92,fat
147,44,normal
161,68,fat
127,56,fat
195,87,normal
176,80,fat
140,68,fat
143,54,fat
164,78,fat
189,37,thin
130,93,fat
168,55,normal
152,96,fat
137,81,fat
153,93,fat
136,40,normal
196,87,normal
144,77,fat
186,54,thin
174,74,normal
163,37,thin
170,99,fat
152,35,thin
130,58,fat
198,63,thin
197,66,thin
189,63,thin
127,68,fat
167,70,fat
137,91,fat
164,63,normal
153,58,normal
142,99,fat
200,81,normal
193,74,normal
191,87,normal
138,88,fat
194,54,thin
183,70,normal
147,41,normal
150,71,fat
126,42,fat
129,43,fat
143,72,fat
147,77,fat
147,50,normal
177,73,normal
178,83,fat
137,69,fat
127,50,fat
165,42,thin
140,74,fat
185,81,normal
166,51,normal
198,52,thin
172,76,fat
142,59,fat
171,69,normal
127,59,fat
193,96,fat
172,78,fat
127,92,fat
153,46,normal
173,49,thin
173,85,fat
185,53,thin
136,51,fat
186,49,thin
187,72,normal
156,63,fat
187,99,fat
146,70,fat
143,38,normal
168,98,fat
159,55,normal
152,72,fat
163,73,fat
157,69,fat
135,47,fat
156,69,fat
187,92,fat
124,83,fat
172,37,thin
125,70,fat
151,46,normal
158,98,fat
127,39,normal
122,35,normal
151,87,fat
138,36,normal
124,74,fat
159,75,fat
162,77,fat
172,81,fat
152,89,fat
155,100,fat
196,47,thin
133,77,fat
198,90,normal
171,67,normal
156,78,fat
188,49,thin
149,91,fat
150,69,fat
195,81,normal
144,86,fat
123,61,fat
147,48,normal
125,42,fat
200,76,normal
158,96,fat
159,42,thin
159,96,fat
133,74,fat
193,41,thin
133,70,fat
181,93,fat
151,59,fat
180,60,normal
168,56,normal
145,63,fat
162,91,fat
172,65,normal
175,89,fat
122,80,fat
194,59,thin
182,61,thin
121,56,fat
144,36,thin
126,81,fat
188,64,thin
190,96,fat
166,62,normal
189,74,normal
191,78,normal
198,87,normal
172,67,normal
126,44,fat
161,42,thin
156,65,fat
183,36,thin
181,91,fat
159,83,fat
167,44,thin
135,65,fat
125,40,fat
180,89,fat
173,49,thin
155,46,normal
199,51,thin
130,92,fat
133,72,fat
135,61,fat
147,46,normal
193,88,normal
131,56,fat
144,63,fat
178,95,fat
161,44,thin
137,42,normal
122,72,fat
195,73,normal
168,89,fat
179,86,fat
138,79,fat
148,95,fat
197,91,normal
174,90,fat
161,52,normal
151,47,normal
164,95,fat
133,79,fat
153,61,fat
184,96,fat
166,46,thin
127,37,normal
154,99,fat
144,65,fat
158,59,normal
147,100,fat
156,64,fat
163,95,fat
133,100,fat
148,66,fat
145,96,fat
190,79,normal
145,77,fat
143,44,normal
162,80,fat
174,59,normal
184,80,normal
200,62,thin
144,89,fat
158,40,thin
183,91,fat
198,47,thin
141,42,normal
198,78,normal
151,59,fat
177,58,normal
185,59,thin
187,41,thin
169,58,normal
121,89,fat
194,93,normal
162,54,normal
186,46,thin
178,52,thin
171,70,normal
191,99,fat
197,92,normal
144,70,fat
